x,y
0.000000000000000e+00,0.000000000000000e+00
1.584603643876198e-02,-1.232025457875928e-03
3.169206898016589e-02,-2.464050094401459e-03
4.753809372685369e-02,-3.696073088226197e-03
6.338410678146732e-02,-4.928093617999745e-03
7.923010424664870e-02,-6.160110862371708e-03
9.507608222503978e-02,-7.392123999991688e-03
1.109220368192825e-01,-8.624132209509290e-03
1.267679641320189e-01,-9.856134669574114e-03
1.426138602658907e-01,-1.108813055883577e-02
1.584597213235400e-01,-1.232011905594385e-02
1.743055434076088e-01,-1.355209933954797e-02
1.901513226207389e-01,-1.478407058829773e-02
2.059970550655723e-01,-1.601603198084273e-02
2.218427368447509e-01,-1.724798269583257e-02
2.376883640609166e-01,-1.847992191191687e-02
2.535339328167115e-01,-1.971184880774522e-02
2.693794392147775e-01,-2.094376256196721e-02
2.852248793577565e-01,-2.217566235323248e-02
3.010702493482904e-01,-2.340754736019060e-02
3.169155452890212e-01,-2.463941676149119e-02
3.327607632825908e-01,-2.587126973578385e-02
3.486058994316412e-01,-2.710310546171819e-02
3.644509498388143e-01,-2.833492311794380e-02
3.802959106067519e-01,-2.956672188311028e-02
3.961407778380963e-01,-3.079850093586726e-02
4.119855476354891e-01,-3.203025945486433e-02
4.278302161015725e-01,-3.326199661875107e-02
4.436747793389882e-01,-3.449371160617712e-02
4.595192334503782e-01,-3.572540359579206e-02
4.753635745383846e-01,-3.695707176624551e-02
4.912077987056492e-01,-3.818871529618705e-02
5.070519020548140e-01,-3.942033336426631e-02
5.228958806885209e-01,-4.065192514913289e-02
5.387397307094118e-01,-4.188348982943637e-02
5.545834482201287e-01,-4.311502658382638e-02
5.704270293233136e-01,-4.434653459095250e-02
5.862704701216084e-01,-4.557801302946435e-02
6.021137667176549e-01,-4.680946107801152e-02
6.179569152140952e-01,-4.804087791524364e-02
6.337999117135713e-01,-4.927226271981029e-02
6.496427523187250e-01,-5.050361467036108e-02
6.654854331321983e-01,-5.173493294554560e-02
6.813279502566332e-01,-5.296621672401348e-02
6.971702997946714e-01,-5.419746518441431e-02
7.130124778489552e-01,-5.542867750539769e-02
7.288544805221262e-01,-5.665985286561323e-02
7.446963039168265e-01,-5.789099044371053e-02
